Name;Price;Calories;Description
Corden Blue large;28.5;650;White chicken breast topped with smoked meat slice and cheese blend
Corden blue medium;19;320;White chicken breast topped with smoked meat slice and cheese blend
Corden blue large combo;42;1330;White chicken breast topped with smoked meat slice and cheese blend+large fries+large coke
Corden blue medium combo;31.5;613;White chicken breast topped with smoked meat slice and cheese blend+large fries+large coke
Shanghai large;25;440;grilled chicken + Chinese vegetables + Chinese spicy sauce
Shanghai combo large;34.5;1120;grilled chicken + Chinese vegetables + Chinese spicy sauce+Frensh fries+ Large coke
Super Crunchy large combo;39;1060;crispy spicy chicken + smoked turkey slices + mozzarella cheese fondue+large fries+large coke
Super Crunchy medium combo;29.5;260;crispy spicy chicken + smoked turkey slices + mozzarella cheese fondue+mebium fries +medium coke
Super Crunchy large;29.5;380;crispy spicy chicken + smoked turkey slices + mozzarella cheese fondue
Super Crunchy medium;19;553;crispy spicy chicken + smoked turkey slices + mozzarella cheese fondue
Shish tawook large;25;655;special grilled chicken slices + green pepper + onion + pickled cucumber
 Shish tawook large combo;28;1335;special grilled chicken slices + green pepper + onion + pickled cucumber+large fries+large coke
Shish tawook meduim;19;299;special grilled chicken slices + green pepper + onion + pickled cucumber
Shish tawook meduim combo;22;592;special grilled chicken slices + green pepper + onion + pickled cucumber+medium fries +medium coke
Chicken Fajita large;25;600;grilled chicken strips + grilled vegetables + Mexican sauce
Chicken Fajita large combo;34.5;1280;grilled chicken strips + grilled vegetables + Mexican sauce+large fries+large coke
Chicken Fajita medium;19;275;grilled chicken strips + grilled vegetables + Mexican sauce
Chicken Fajita medium combo;28.5;858;grilled chicken strips + grilled vegetables + Mexican sauce+medium fries+medium coke
Chicken Friday large;25;501;grilled chicken slices + mushroom + pickled cucumber + mozzarella cheese + mayonnaise
Chicken Friday large combo;34.5;1181;grilled chicken slices + mushroom + pickled cucumber + mozzarella cheese + mayonnaise+large fries+large coke
Grilled Chicken Breasts large;25;370;grilled chicken breast strips + lettuce + caramelized onion
Grilled Chicken Breasts  combo;34.5;1050;grilled chicken breast strips + lettuce + caramelized onion+large fries+large coke
Chicken Panee large;25;112.4;fried chicken pane + lettuce + pickled cucumber + mayonnaise
Chicken Panee large combo;34.5;792.4;fried chicken pane + lettuce + pickled cucumber + mayonnaise+large fries+large coke
Chicken Wrap large;14;220;2 crispy fried chicken strips + lettuce + pickled cucumber + mayonnaise, served in Mexican tortilla bread
Chicken Wrap large combo;23.5;900;2 crispy fried chicken strips + lettuce + pickled cucumber + mayonnaise, served in Mexican tortilla bread+large fries+large coke
Super Grilled Viagra large;35;501;Grilled shrimps grilled crab blended to perfection with our secret sauce it?s a real strong sandwich.
Super Grilled Viagra large combo;44.5;1181;Grilled shrimps grilled crab blended to perfection with our secret sauce it?s a real strong sandwich.
Grilled Chicken Breasts large;25;220;grilled chicken breast strips + lettuce + caramelized onion
Grilled Chicken Breasts large combo;34.5;900;grilled chicken breast strips + lettuce + caramelized onion
Cheese Burger  large;18.5;408;burger patty + cheese slice + lettuce + tomatoes + onion + pickled cucumber + mayonnaise
Cheese Burger  large combo;28;1088;burger patty + cheese slice + lettuce + tomatoes + onion + pickled cucumber + mayonnaise
Grilled Kofta Wrap;14;395;grilled kofta + tomatoes + onion + pickled cucumber + sesame paste salad, served in Mexican tortilla bread
Grilled Kofta Wrap combo;23.5;1075;grilled kofta + tomatoes + onion + pickled cucumber + sesame paste salad, served in Mexican tortilla bread+large fries+large coke
Double Steak Burger;25.5;630;2 burger patties + double cheese slices + lettuce + tomatoes + onion + pickled cucumber + mayonnaise
Double Steak Burger large combo;38;1310;2 burger patties + double cheese slices + lettuce + tomatoes + onion + pickled cucumber + mayonnaise
Super Beef Fajita Sandwich large;29.5;445;grilled beef slices + green pepper + onion + pickled cucumber + green olives + spicy mayonnaise
Super Beef Fajita Sandwich large combo;42;1125;grilled beef slices + green pepper + onion + pickled cucumber + green olives + spicy mayonnaise
